POL	D	T1	A1	B	A2	T2	A1n	Bn	A2n	PF	DF	Time	SD	Solvent	VOL	Hydration	Temperature	Source	D2	DF2	B2	B2n	PMW	DMW	DMW2	POLFRAC	D1FRAC	D2FRAC	POLNAME	DRUGNAME1	DRUGNAME2	PMR	MR1	MR2
A-PhenOx-A	testcompound	MeOx	MeOx	PhenOx	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8781.67191294	368.125988360001	0	0.0497907357530495	0.950209264246951	0	A-PhenOx-A	testcompound	None	1	19.0840575033831	0
A-BzOx-A-M	testcompound	MeOx	MeOx	BzOx	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8571.43716198	368.125988360001	0	0.0509497495639866	0.949050250436013	0	A-BzOx-A-M	testcompound	None	1	18.6271818518779	0
A-PhOx-A-M	testcompound	MeOx	MeOx	PhOx	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8361.20241102	368.125988360001	0	0.0521640076870846	0.947835992312915	0	A-PhOx-A-M	testcompound	None	1	18.1703062003726	0
A-PhenOzi-A	testcompound	MeOx	MeOx	PhenOzi	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8991.9066639	368.125988360001	0	0.0486832799882812	0.951316720011719	0	A-PhenOzi-A	testcompound	None	1	19.5409331548884	0
A-BzOzi-A	testcompound	MeOx	MeOx	BzOzi	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8781.67191294	368.125988360001	0	0.0497907357530495	0.950209264246951	0	A-BzOzi-A	testcompound	None	1	19.0840575033831	0
A-PhOzi-A	testcompound	MeOx	MeOx	PhOzi	MeOx	PipBoc	34	15	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8571.43716198	368.125988360001	0	0.0509497495639866	0.949050250436013	0	A-PhOzi-A	testcompound	None	1	18.6271818518779	0
Px	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	38	25	39	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9913.320435708	368.125988360001	0	0.0443590364723727	0.955640963527627	0	Px	testcompound	None	1	21.5433210350006	0
Py	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	38	25	30	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9147.704710536	368.125988360001	0	0.0478938473578697	0.95210615264213	0	Py	testcompound	None	1	19.8795086460241	0
P3	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	39	21	34	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9064.585323676	368.125988360001	0	0.0483118016592645	0.951688198340736	0	P3	testcompound	None	1	19.6988761680395	0
P5	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	46	26	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	10465.777869348	368.125988360001	0	0.0421160724924048	0.957883927507595	0	P5	testcompound	None	1	22.7439044246194	0
P1	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	36	21	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8979.516909768	368.125988360001	0	0.0487471777292562	0.951252822270744	0	P1	testcompound	None	1	19.5140081248199	0
P6	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	32	26	45	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	10040.435799808	368.125988360001	0	0.0438220463310416	0.956177953668958	0	P6	testcompound	None	1	21.8195642085213	0
P7	testcompound	MeOx	MeOx	nNonOx	MeOx	Pip	33	12	37	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8506.280808892	368.125988360001	0	0.0513199857451056	0.948680014254894	0	P7	testcompound	None	1	18.4855860827157	0
P2	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	44	25	0	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	7106.062776744	368.125988360001	0	0.0608173525887505	0.93918264741125	0	P2	testcompound	None	1	15.4426756087533	0
P8	testcompound	PgMeOx	MeOx	nBuOx	MeOx	Pip	33	13	34	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	BzOx	5	8366.750497608	368.125988360001	0	0.0521312203926004	0.9478687796074	0	P8	testcompound	None	1	18.182363130366	0
P4	testcompound	MeOx	MeOx	nBuOx	MeOx	Pip	43	26	38	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	10380.70945544	368.125988360001	0	0.042446557822268	0.957553442177732	0	P4	testcompound	None	1	22.5590363813998	0
A-BuOx-BzOx-A-H	testcompound	MeOx	MeOx	nBuOx	MeOx	PipBoc	30	10	32	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	BzOx	6	7797.2144793	368.125988360001	0	0.0557268689619861	0.944273131038014	0	A-BuOx-BzOx-A-H	testcompound	None	1	16.9446650893333	0
pMeOx	testcompound	MeOx	MeOx	nBuOx	MeOx	PipBoc	32	0	0	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	3007.410136844	368.125988360001	0	0.132703247801575	0.867296752198425	0	pMeOx	testcompound	None	1	6.5356105940621	0
pEtOx	testcompound	EtOx	EtOx	nBuOx	EtOx	PipBoc	32	0	0	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	3469.926588956	368.125988360001	0	0.117085913873115	0.882914086126885	0	pEtOx	testcompound	None	1	7.54073702737371	0
